frame	pts_s	mean_abs_change_vs_previous(0-255)
0	0.000	0
1	1.442	0.86
2	1.491	10.92
3	1.508	1.71
4	1.524	9.7
5	1.541	9.12
6	1.558	8.91
7	1.574	10.71
8	1.591	9.21
9	1.608	7.99
10	1.624	6.81
11	1.641	4.1
12	1.658	3.18
13	1.674	3.27
14	1.691	1.32
15	1.708	1.35
16	1.724	0.4
17	1.791	0.0
18	1.817	0.0
19	1.848	0.0
20	1.944	0.17
21	1.955	50.0
22	1.964	56.91
23	1.980	57.6
24	2.011	27.72
25	2.021	15.92
26	2.026	13.16
27	2.043	7.72
28	2.060	7.14
29	2.076	6.01
30	2.093	6.27
31	2.110	5.66
32	2.126	5.06
33	2.143	4.34
34	2.159	3.81
35	2.176	2.91
36	2.193	3.29
37	2.209	3.01
38	2.226	2.58
39	2.242	2.12
40	2.259	2.84
41	2.276	1.91
42	2.292	1.61
43	2.311	0.38
44	2.337	0.18
45	2.342	0.1
46	2.359	0.23
47	2.391	12.9
48	2.394	0.03
49	2.417	0.15
50	2.427	0.04
51	2.442	0.23
52	2.459	0.03
53	2.475	0.02
54	2.492	0.02
55	2.508	0.13
56	2.525	0.12
57	2.543	0.08
58	2.559	0.04
59	2.575	0.02
60	2.592	0.01
61	2.608	0.01
62	2.625	0.0
63	2.641	0.0
