frame	pts_s	mean_abs_change_vs_previous(0-255)
0	0.000	0
1	0.012	2.5
2	0.030	2.18
3	0.043	2.04
4	0.053	0.69
5	0.070	0.17
6	0.087	2.02
7	0.103	2.12
8	0.119	4.48
9	0.136	2.88
10	0.152	2.06
11	0.169	0.51
12	0.186	0.0
13	0.203	1.94
14	0.219	2.12
15	0.237	2.21
16	0.252	0.63
17	1.504	10.03
18	1.520	1.44
19	1.536	8.99
20	1.553	8.66
21	1.569	7.74
22	1.586	9.13
23	1.602	7.27
24	1.619	5.77
25	1.636	4.52
26	1.653	3.85
27	1.669	2.15
28	1.686	1.87
29	1.703	0.31
30	1.719	0.0
31	1.736	0.0
32	1.787	0.17
33	1.821	0.0
34	1.823	2.81
35	1.837	7.46
36	1.853	29.17
37	1.872	20.93
38	1.888	25.73
39	1.904	28.0
40	1.921	25.94
41	1.938	24.98
42	1.955	21.02
43	1.971	17.89
44	1.987	15.43
45	2.004	12.53
46	2.021	11.69
47	2.037	10.26
48	2.054	8.46
49	2.071	6.41
50	2.087	5.34
51	2.104	4.0
52	2.120	3.9
53	2.137	3.24
54	2.153	2.55
55	2.170	2.52
56	2.187	1.97
57	2.203	1.31
58	2.220	1.7
59	2.237	1.27
60	2.254	0.62
61	2.271	0.19
62	2.287	0.55
63	2.303	11.15
64	2.320	0.04
65	2.337	0.03
66	2.353	0.02
67	2.854	0.0
68	2.870	0.0
69	2.887	0.01
70	2.903	0.03
71	2.919	0.06
72	2.937	0.09
73	2.953	0.12
74	2.970	0.28
75	2.986	0.29
76	3.003	0.29
77	3.020	0.39
78	3.036	0.41
79	3.053	0.41
80	3.070	0.29
81	3.086	0.22
82	3.103	0.11
83	3.120	0.05
