row1 q width	129.33
row1 w width	129.33
row1 e width	129.33
row1 r width	129.33
row1 t width	129.33
row1 y width	129.33
row1 u width	129.33
row1 i width	129.33
row1 o width	129.33
row1 p width	129.33
row1 gap 0	14.67
row1 gap 1	14.67
row1 gap 2	14.67
row1 gap 3	14.67
row1 gap 4	14.67
row1 gap 5	14.67
row1 gap 6	14.67
row1 gap 7	14.67
row1 gap 8	14.67
row1 left margin	5.33
row1 right margin	9.33
column pitch	144.00
row2 a width	128.00
row2 s width	128.00
row2 d width	128.00
row2 f width	128.00
row2 g width	128.00
row2 h width	128.00
row2 j width	128.00
row2 k width	128.00
row2 l width	128.00
row2 gap 0	16.00
row2 gap 1	16.00
row2 gap 2	16.00
row2 gap 3	16.00
row2 gap 4	16.00
row2 gap 5	16.00
row2 gap 6	16.00
row2 gap 7	16.00
row2 left inset	77.33
row2 right inset	82.67
shift width	200.00
backspace width	201.33
row3 z width	128.00
row3 x width	128.00
row3 c width	128.00
row3 v width	128.00
row3 b width	128.00
row3 n width	128.00
row3 m width	128.00
row3 z left vs s left	0.00
row3 x left vs d left	0.00
row3 c left vs f left	0.00
row3 v left vs g left	0.00
row3 b left vs h left	0.00
row3 n left vs j left	0.00
row3 m left vs k left	0.00
row4 sym width	200.00
row4 emoji width	128.00
row4 comma width	128.00
row4 space width	560.00
row4 period width	128.00
row4 enter width	201.33
key height min	201.33
key height max	202.67
row pitch	217.33
vertical gap	16.00
bottom margin	6.67
key block	861.33
strip height px	140.00
dot centre x	358.00
dot above nav bar	216.67
panel width px	1080.00
