final pass 2 on apk a28c7b582477ab00 at 897bd2f (tree clean), started 2026-09-22T15:37:14-06:00
e1 rc=0 E1: 10 passed, 0 failed
e2 rc=0 E2: 11 passed, 0 failed
e3 rc=0 E3: 174 passed, 0 failed
e3motion rc=1 E3M: 2 passed, 1 failed
e4 rc=0 E4: 11 passed, 0 failed
e5 rc=0 E5: 18 passed, 0 failed
e6 rc=0 E6: 9 passed, 0 failed
e7 rc=0 E7: 8 passed, 0 failed
e9 rc=0 E9: 8 passed, 0 failed
e10 rc=0 E10: 8 passed, 0 failed
e11 rc=0 E11: 9 passed, 0 failed
e12 rc=0 E12: 30 passed, 0 failed
edge1 rc=1 EDGE1: 46 passed, 1 failed
edge2 rc=1 EDGE2: 21 passed, 1 failed
e8 rc=0 E8: 5 passed, 0 failed
edge3 rc=1 EDGE3: 11 passed, 7 failed
edge4 rc=0 EDGE4: 7 passed, 0 failed
finished 2026-09-22T15:56:54-06:00
