Search|39 104 172 158
|996 110 1041 155
Recently added|0 228 309 282
Tile client A|168 375 398 429
Tile client B|168 507 395 561
IME fixture|168 639 381 693
A|12 758 58 844
Alarms &amp; Clock|168 921 473 975
Auxio|168 1053 280 1107
Aves Libre|168 1185 372 1239
C|12 1304 57 1390
Calculator|168 1467 367 1521
Calendar|168 1599 345 1653
Camera|168 1731 321 1785
Camera|168 1863 321 1917
Clock|168 1995 276 2049
Contacts|168 2127 340 2181
|150 2238 210 2298
|870 2238 930 2298
|36 20 81 65
|99 20 144 65
|832 20 877 65
12:35 AM|895 20 1044 64
