standard-001	20	20	2 add 3 multiply 4 equals
standard-002	5	5	2 add 3 multiply
standard-003	3	3	1 0 subtract 4 divide 2 equals
standard-004	12	12	3 add 4 add 5 equals
standard-005	0.3	0.3	0 decimal 1 add 0 decimal 2 equals
standard-006	0.75	0.75	decimal 5 add decimal 2 5 equals
standard-007	3	3	1 decimal 5 multiply 2 equals
standard-008	-3	-3	9 subtract 1 2 equals
standard-009	0.3333333333333333	0.3333333333333333	1 divide 3 equals
standard-010	0.6666666666666667	0.6666666666666667	2 divide 3 equals
standard-011	1	1	1 divide 3 multiply 3 equals
standard-012	0.1428571428571429	0.1428571428571429	1 divide 7 equals
standard-013	0.125	0.125	1 divide 8 equals
standard-014	0.0033333333333333	0.0033333333333333	1 divide 3 0 0 equals
standard-015	3.333333333333333e-4	3.333333333333333e-4	1 divide 3 0 0 0 equals
standard-016	92	92	8 0 add 1 5 percent equals
standard-017	12	12	8 0 add 1 5 percent
standard-018	68	68	8 0 subtract 1 5 percent equals
standard-019	20	20	2 0 0 multiply 1 0 percent equals
standard-020	200	200	5 0 divide 2 5 percent equals
standard-021	0	0	1 5 percent
standard-022	8	8	2 multiply equals equals
standard-023	14	14	5 add 3 equals equals equals
standard-024	6	6	1 0 subtract 2 equals equals
standard-025	18	18	2 multiply 3 equals equals
standard-026	10	10	5 add equals
standard-027	80	80	2 add 3 multiply 4 equals equals
standard-028	15	15	5 add multiply 3 equals
standard-029	1,234,567	1,234,567	1 2 3 4 5 6 7
standard-030	1,234.5678	1,234.5678	1 2 3 4 decimal 5 6 7 8
standard-031	-1,234,567	-1,234,567	1 2 3 4 5 6 7 negate
standard-032	1,234.5	1,234.5	1 2 3 4 decimal 5 0 add
standard-033	1,234,567,890,123,456	1,234,567,890,123,456	1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7
standard-034	0.1234567890123456	0.1234567890123456	0 decimal 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7
standard-035	5	5	0 0 5
standard-036	1.23	1.23	1 decimal 2 decimal 3
standard-037	9,999,999,800,000,001	9,999,999,800,000,001	9 9 9 9 9 9 9 9 multiply 9 9 9 9 9 9 9 9 equals
standard-038	1.e+16	1.e+16	9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 add 1 equals
standard-039	9.99999998e+17	9.99999998e+17	9 9 9 9 9 9 9 9 9 multiply 9 9 9 9 9 9 9 9 9 equals
standard-040	1.234567890123456e+18	1.234567890123456e+18	1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 multiply 1 0 0 0 equals
standard-041	0	0	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 add 0 decimal 0 0 0 0 1 subtract 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 equals
standard-042	12	12	1 2 3 backspace
standard-043	0	0	1 2 3 backspace backspace backspace
standard-044	1.	1.	1 decimal 5 backspace
standard-045	1	1	1 decimal backspace
standard-046	5	5	2 add 3 equals backspace
standard-047	7	7	5 add 3 clear_entry 2 equals
standard-048	0	0	1 2 3 clear_entry
standard-049	2	2	5 add 3 clear 2 equals
standard-050	-5	-5	5 negate
standard-051	5	5	5 negate negate
standard-052	-5	-5	2 add 3 equals negate
standard-053	0	0	0 negate
standard-054	-2	-2	5 negate add 3 equals
standard-055	-1.5	-1.5	1 decimal 5 negate
standard-056	9	9	8 1 sqrt
standard-057	1.414213562373095	1.414213562373095	2 sqrt
standard-058	Invalid input	Invalid input	1 negate sqrt
standard-059	144	144	1 2 square
standard-060	0.25	0.25	0 decimal 5 square
standard-061	0.25	0.25	4 reciprocal
standard-062	0.3333333333333333	0.3333333333333333	3 reciprocal
standard-063	Cannot divide by zero	Cannot divide by zero	0 reciprocal
standard-064	12	12	9 add sqrt equals
standard-065	Cannot divide by zero	Cannot divide by zero	1 divide 0 equals
standard-066	Result is undefined	Result is undefined	0 divide 0 equals
standard-067	5	5	1 divide 0 equals 5 add
standard-068	5	5	1 divide 0 equals clear 5
standard-069	0	0	1 divide 0 equals clear_entry
standard-070	Overflow	Overflow	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 square square square square square square square square square square
standard-071	5	0	mc 5 ms clear mr
standard-072	3	3	mc 5 ms 3
standard-073	8	3	mc 5 ms 3 mplus mr
standard-074	2	3	mc 5 ms 3 mminus mr
standard-075	10	5	mc 5 mplus mplus mr
standard-076	-5	5	mc 5 mminus mr
standard-077	7	7	mc 5 ms 7 ms mr
standard-078	5	3	mc 5 ms 3 mr
standard-079	3	73	mc 5 ms 7 mc 3
standard-080	10	0	mc 2 add 3 equals ms clear mr multiply 2 equals
