calc_mode:standard	Standard
calc_mode:scientific	Scientific
calc_mode:programmer	Programmer
calc_mode:date	Date calculation
calc_mode:converter	CONVERTER
calc_converter_category:1	Volume
calc_converter_category:2	Length
calc_converter_category:3	Weight and Mass
calc_converter_category:4	Temperature
calc_converter_category:5	Energy
calc_converter_category:6	Area
calc_converter_category:7	Speed
calc_converter_category:8	Time
calc_converter_category:9	Power
calc_converter_category:10	Data
calc_converter_category:11	Pressure
calc_converter_category:12	Angle
