compressed_delta	uncompressed_delta	entry	kind
11139004	11139004	classes19.dex	new
2763252	2763252	classes20.dex	new
1454184	1454184	classes8.dex	changed
667392	667392	classes12.dex	changed
598520	598520	classes13.dex	changed
284500	284500	classes6.dex	changed
151844	151844	classes2.dex	changed
125752	125752	classes14.dex	changed
78656	78656	classes17.dex	new
62776	62776	classes3.dex	changed
24972	24972	classes18.dex	new
6280	6280	resources.arsc	changed
940	5796	AndroidManifest.xml	changed
833	2012	res/drawable/ic_calculator_glyph.xml	new
634	2176	res/xml/shortcuts_calculator.xml	new
611	1300	res/drawable/ic_recorder_glyph.xml	new
605	2064	res/xml/shortcuts_clock.xml	new
548	1408	res/xml/shortcuts_recorder.xml	new
404	736	res/drawable/ic_alarm.xml	new
375	700	res/drawable/ic_timer.xml	new
294	736	res/drawable/ic_recorder.xml	new
292	736	res/drawable/ic_calculator.xml	new
-1	0	res/drawable/notification_tile_bg.xml	changed
-1	0	res/drawable/notification_bg.xml	changed
-72388	-72388	classes4.dex	changed
-100648	-100648	classes11.dex	changed
-228224	-228224	classes10.dex	changed
-298600	-298600	classes7.dex	changed
-780152	-780152	classes9.dex	changed
-868236	-868236	classes5.dex	changed
-1857660	-1857660	classes16.dex	changed
-10743592	-10743592	classes15.dex	changed
