compressed_delta	uncompressed_delta	entry	kind
2435160	2435160	classes*.dex	changed
6516	6516	resources.arsc	changed
935	5784	AndroidManifest.xml	changed
833	2012	res/drawable/ic_calculator_glyph.xml	new
697	1332	res/drawable/ic_clock_glyph.xml	new
634	2176	res/xml/shortcuts_calculator.xml	new
630	2160	res/xml/shortcuts_clock.xml	new
611	1300	res/drawable/ic_recorder_glyph.xml	new
547	1408	res/xml/shortcuts_recorder.xml	new
404	736	res/drawable/ic_alarm.xml	new
375	700	res/drawable/ic_timer.xml	new
293	736	res/drawable/ic_recorder.xml	new
293	736	res/drawable/ic_clock.xml	new
292	736	res/drawable/ic_calculator.xml	new
2	0	res/drawable/ic_shortcut_checklist.xml	changed
1	0	res/drawable/notification_tile_bg.xml	changed
1	0	res/drawable/notification_bg.xml	changed
1	0	res/drawable/ic_shortcut_tile_apps.xml	changed
1	0	res/drawable/ic_shortcut_albums.xml	changed
-1	0	res/xml/shortcuts_music.xml	changed
-1	0	res/drawable/notification_bg_low.xml	changed
-2	0	res/xml/shortcuts_settings.xml	changed
