date-001	2 days	2 days	difference 2024-02-28 2024-03-01	    2026-09-24 10:03:36.461 wall=1790265816461 [calc] date difference 2024-02-28 2024-03-01 -> 2 days	Wednesday, February 28, 2024 / Friday, March 1, 2024
date-002	1 day	1 day	difference 2023-02-28 2023-03-01	    2026-09-24 10:04:19.984 wall=1790265859984 [calc] date difference 2023-02-28 2023-03-01 -> 1 day	Tuesday, February 28, 2023 / Wednesday, March 1, 2023
date-003	2 months | 60 days	2 months | 60 days	difference 2024-01-15 2024-03-15	    2026-09-24 10:05:07.117 wall=1790265907117 [calc] date difference 2024-01-15 2024-03-15 -> 2 months | 60 days	Monday, January 15, 2024 / Friday, March 15, 2024
date-004	1 month | 29 days	1 month | 29 days	difference 2024-01-31 2024-02-29	    2026-09-24 10:05:53.622 wall=1790265953622 [calc] date difference 2024-01-31 2024-02-29 -> 1 month | 29 days	Wednesday, January 31, 2024 / Thursday, February 29, 2024
date-005	1 month, 2 days | 31 days	1 month, 2 days | 31 days	difference 2008-02-29 2008-03-31	    2026-09-24 10:06:41.860 wall=1790266001860 [calc] date difference 2008-02-29 2008-03-31 -> 1 month, 2 days | 31 days	Friday, February 29, 2008 / Monday, March 31, 2008
date-006	2 weeks | 14 days	2 weeks | 14 days	difference 2023-12-25 2024-01-08	    2026-09-24 10:07:33.325 wall=1790266053325 [calc] date difference 2023-12-25 2024-01-08 -> 2 weeks | 14 days	Monday, December 25, 2023 / Monday, January 8, 2024
date-007	1 day	1 day	difference 2023-12-31 2024-01-01	    2026-09-24 10:08:17.625 wall=1790266097625 [calc] date difference 2023-12-31 2024-01-01 -> 1 day	Sunday, December 31, 2023 / Monday, January 1, 2024
date-008	1 year | 366 days	1 year | 366 days	difference 2023-06-15 2024-06-15	    2026-09-24 10:09:04.851 wall=1790266144851 [calc] date difference 2023-06-15 2024-06-15 -> 1 year | 366 days	Thursday, June 15, 2023 / Saturday, June 15, 2024
date-009	1 year | 365 days	1 year | 365 days	difference 2020-02-29 2021-02-28	    2026-09-24 10:09:52.916 wall=1790266192916 [calc] date difference 2020-02-29 2021-02-28 -> 1 year | 365 days	Saturday, February 29, 2020 / Sunday, February 28, 2021
date-010	Same dates	Same dates	difference 2024-05-05 2024-05-05	    2026-09-24 10:10:42.511 wall=1790266242511 [calc] date difference 2024-05-05 2024-05-05 -> Same dates	Sunday, May 5, 2024 / Sunday, May 5, 2024
date-011	10 months | 305 days	10 months | 305 days	difference 2008-03-10 2007-05-10	    2026-09-24 10:11:30.773 wall=1790266290773 [calc] date difference 2008-03-10 2007-05-10 -> 10 months | 305 days	Monday, March 10, 2008 / Thursday, May 10, 2007
date-012	5 years, 8 months, 3 weeks, 1 day | 2092 days	5 years, 8 months, 3 weeks, 1 day | 2092 days	difference 2019-01-01 2024-09-23	    2026-09-24 10:12:20.415 wall=1790266340415 [calc] date difference 2019-01-01 2024-09-23 -> 5 years, 8 months, 3 weeks, 1 day | 2092 days	Tuesday, January 1, 2019 / Monday, September 23, 2024
date-013	Thursday, February 29, 2024	Thursday, February 29, 2024	add 2024-01-31 years=0 months=1 days=0	    2026-09-24 10:13:09.565 wall=1790266389565 [calc] date add 2024-01-31 years=0 months=1 days=0 -> Thursday, February 29, 2024	Wednesday, January 31, 2024 / 0 years, 1 month, 0 days
date-014	Tuesday, February 28, 2023	Tuesday, February 28, 2023	add 2023-01-31 years=0 months=1 days=0	    2026-09-24 10:13:33.289 wall=1790266413289 [calc] date add 2023-01-31 years=0 months=1 days=0 -> Tuesday, February 28, 2023	Tuesday, January 31, 2023 / 0 years, 1 month, 0 days
date-015	Friday, February 28, 2025	Friday, February 28, 2025	add 2024-02-29 years=1 months=0 days=0	    2026-09-24 10:14:37.111 wall=1790266477111 [calc] date add 2024-02-29 years=1 months=0 days=0 -> Friday, February 28, 2025	Thursday, February 29, 2024 / 1 year, 0 months, 0 days
date-016	Wednesday, January 8, 2025	Wednesday, January 8, 2025	add 2024-12-25 years=0 months=0 days=14	    2026-09-24 10:15:23.995 wall=1790266523995 [calc] date add 2024-12-25 years=0 months=0 days=14 -> Wednesday, January 8, 2025	Wednesday, December 25, 2024 / 0 years, 0 months, 14 days
date-017	Saturday, March 1, 2025	Saturday, March 1, 2025	add 2024-01-31 years=1 months=1 days=1	    2026-09-24 10:16:10.937 wall=1790266570937 [calc] date add 2024-01-31 years=1 months=1 days=1 -> Saturday, March 1, 2025	Wednesday, January 31, 2024 / 1 year, 1 month, 1 day
date-018	Monday, January 1, 2024	Monday, January 1, 2024	add 2023-12-31 years=0 months=0 days=1	    2026-09-24 10:16:56.282 wall=1790266616282 [calc] date add 2023-12-31 years=0 months=0 days=1 -> Monday, January 1, 2024	Sunday, December 31, 2023 / 0 years, 0 months, 1 day
date-019	Thursday, February 29, 2024	Thursday, February 29, 2024	subtract 2024-03-31 years=0 months=1 days=0	    2026-09-24 10:17:44.030 wall=1790266664030 [calc] date subtract 2024-03-31 years=0 months=1 days=0 -> Thursday, February 29, 2024	Sunday, March 31, 2024 / 0 years, 1 month, 0 days
date-020	Monday, January 29, 2024	Monday, January 29, 2024	subtract 2024-03-10 years=0 months=1 days=10	    2026-09-24 10:18:30.408 wall=1790266710408 [calc] date subtract 2024-03-10 years=0 months=1 days=10 -> Monday, January 29, 2024	Sunday, March 10, 2024 / 0 years, 1 month, 10 days
date-021	Sunday, January 28, 2024	Sunday, January 28, 2024	subtract 2025-03-01 years=1 months=1 days=1	    2026-09-24 10:19:15.788 wall=1790266755788 [calc] date subtract 2025-03-01 years=1 months=1 days=1 -> Sunday, January 28, 2024	Saturday, March 1, 2025 / 1 year, 1 month, 1 day
date-022	Monday, December 18, 2023	Monday, December 18, 2023	subtract 2024-01-01 years=0 months=0 days=14	    2026-09-24 10:20:01.524 wall=1790266801524 [calc] date subtract 2024-01-01 years=0 months=0 days=14 -> Monday, December 18, 2023	Monday, January 1, 2024 / 0 years, 0 months, 14 days
