+0s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+1s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+3s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+4s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+5s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+6s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+8s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+9s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+10s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+11s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+13s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+14s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+15s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+16s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+18s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+19s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+20s AudioPlaybackConfiguration piid:3503 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
