id	mode	setup	keys	expected	tess_utterance	tess_reply	source
# Generated by docs/plan/qa/phase-15/scripts/gen_calc_cases.py -- do not edit by hand; re-run the script.
# Oracle: microsoft/calculator @ 4fd3fc53bade573ea2ac1e1ebad9bf603713f85e (MIT); rules ported on the host, never the app's engine.
# Source paths below are relative to that repo unless they start with docs/. Driver notes and the
# omitted cases are in the generator's header comment. setup: split on r"\s+(?=(?:angle|radix|word|category|from|to|op)=)".
# ---- standard ----
# E11: `2 + 3 × 4 =` -> 20 in Standard (immediate execution)
standard-001	standard		2 add 3 multiply 4 equals	20			src/CalcManager/CalculatorManager.cpp:164; src/CalcManager/CEngine/scicomm.cpp:274-345 (Standard executes each operator immediately)
# immediate: the display after the second operator already holds 2 + 3
standard-002	standard		2 add 3 multiply	5			src/CalcManager/CalculatorManager.cpp:164; src/CalcManager/CEngine/scicomm.cpp:274-345 (Standard executes each operator immediately)
# immediate: 10 - 4 / 2 = is (10-4)/2
standard-003	standard		1 0 subtract 4 divide 2 equals	3			src/CalcManager/CalculatorManager.cpp:164; src/CalcManager/CEngine/scicomm.cpp:274-345 (Standard executes each operator immediately)
# chain 3 + 4 + 5 = (the second + shows 7)
standard-004	standard		3 add 4 add 5 equals	12			src/CalcManager/CalculatorManager.cpp:164; src/CalcManager/CEngine/scicomm.cpp:274-345 (Standard executes each operator immediately)
# E11: `0.1 + 0.2` -> 0.3 (exact rationals)
standard-005	standard		0 decimal 1 add 0 decimal 2 equals	0.3			src/CalcManager/CEngine/scioper.cpp:82-92 + src/CalcManager/Ratpack/rat.cpp:188-233 (exact rational add/sub)
# decimal entry without a leading zero
standard-006	standard		decimal 5 add decimal 2 5 equals	0.75			src/CalcManager/CEngine/scioper.cpp:82-92 + src/CalcManager/Ratpack/rat.cpp:188-233 (exact rational add/sub)
# 1.5 x 2
standard-007	standard		1 decimal 5 multiply 2 equals	3			src/CalcManager/CEngine/scioper.cpp:82-92 + src/CalcManager/Ratpack/rat.cpp:188-233 (exact rational add/sub)
# subtraction below zero
standard-008	standard		9 subtract 1 2 equals	-3			src/CalcManager/CEngine/scioper.cpp:82-92 + src/CalcManager/Ratpack/rat.cpp:188-233 (exact rational add/sub)
# 1 / 3 at 16 digits
standard-009	standard		1 divide 3 equals	0.3333333333333333			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# 2 / 3 rounds the 16th digit up
standard-010	standard		2 divide 3 equals	0.6666666666666667			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# 1 / 3 x 3 = 1 exactly (rational, not binary floating point)
standard-011	standard		1 divide 3 multiply 3 equals	1			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164
# 1 / 7
standard-012	standard		1 divide 7 equals	0.1428571428571429			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164; src/CalcManager/Ratpack/conv.cpp:1076-1264 (NumberToString, precision 16: src/CalcManager/CalculatorManager.h:24)
# 1 / 8 terminates
standard-013	standard		1 divide 8 equals	0.125			src/CalcManager/CEngine/scioper.cpp:94-131 + src/CalcManager/Ratpack/rat.cpp:135-164
# 1 / 300: two zeros after the point stay fixed, 14 significant digits
standard-014	standard		1 divide 3 0 0 equals	0.0033333333333333			src/CalcManager/Ratpack/conv.cpp:28,1119-1135 (more than 2 zeros after the point -> e-notation)
# 1 / 3000: three zeros after the point -> e-notation
standard-015	standard		1 divide 3 0 0 0 equals	3.333333333333333e-4			src/CalcManager/Ratpack/conv.cpp:28,1119-1135 (more than 2 zeros after the point -> e-notation)
# E11: `80 + 15 % =` -> 92
standard-016	standard		8 0 add 1 5 percent equals	92			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# percent shows X*Y/100 before =
standard-017	standard		8 0 add 1 5 percent	12			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# 80 - 15 % = 68
standard-018	standard		8 0 subtract 1 5 percent equals	68			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# x uses Y/100: 200 x 10 % = 20
standard-019	standard		2 0 0 multiply 1 0 percent equals	20			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# / uses Y/100: 50 / 25 % = 200
standard-020	standard		5 0 divide 2 5 percent equals	200			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# % with no pending operator is Y * 0/100 = 0
standard-021	standard		1 5 percent	0			src/CalcManager/CEngine/scifunc.cpp:98-111 (X op Y% = X op X*Y/100; x and / use Y/100)
# E11: `2 × = =` -> 8
standard-022	standard		2 multiply equals equals	8			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
# repeated = adds the held operand again
standard-023	standard		5 add 3 equals equals equals	14			src/CalcManager/CEngine/scicomm.cpp:486-554,884-923 (= repeats the last operation with the held operand)
